Title,URL,Description,Tags,Markdown,
Website,https://www.gmhcommunities.com/,GMH Communities Home Page,Business,[Website](https://www.gmhcommunities.com/),
Logo,https://cdn.brandfetch.io/gmhcommunities.com/logo,GMH Communities Logo,Brand,[Logo](https://cdn.brandfetch.io/gmhcommunities.com/logo),
Icon,https://cdn.brandfetch.io/gmhcommunities.com/icon,GMH Communities Icon,Brand,[Icon](https://cdn.brandfetch.io/gmhcommunities.com/icon),
Favicon,https://favicone.com/gmhcommunities.com,GMH Communities Favicon,Brand,[Favicon](https://favicone.com/gmhcommunities.com),
LinkedIn,https://www.linkedin.com/company/gmhcommunities/,GMH Communities LinkedIn Page,Social Media,[LinkedIn](https://www.linkedin.com/company/gmhcommunities/),
Facebook,https://facebook.com/gmhcommunities,GMH Communities Facebook Page,Social Media,[Facebook](https://facebook.com/gmhcommunities),
YouTube,https://youtube.com/channel/UCEtH3DGx8aexiXLgOi2Kyqg,GMH Communities YouTube Channel,Social Media,[YouTube](https://youtube.com/channel/UCEtH3DGx8aexiXLgOi2Kyqg),
Instagram,https://instagram.com/gmhcommunities,GMH Communities Instagram Page,Social Media,[Instagram](https://instagram.com/gmhcommunities),
GitHub Client Repository,https://noclocks/client-gmh-communities/,GMH Communities GitHub Repository,Development,[GitHub Client Repository](https://noclocks/client-gmh-communities/),
Github Client Project,https://github.com/orgs/noclocks/projects/17,GMH Communities GitHub Project,Development,[Github Client Project](https://github.com/orgs/noclocks/projects/17),
Google Drive,https://drive.google.com/drive/folders/1ZK9WrYDHXzC5N4VS4a7x6q3QkW60PNRK?usp=drive_link,GMH Communities Google Drive Folder,Storage,[Google Drive](https://drive.google.com/drive/folders/1ZK9WrYDHXzC5N4VS4a7x6q3QkW60PNRK?usp=drive_link),
Gmail Client Label,https://mail.google.com/mail/u/0/#label/%40Clients%2FGMH,GMH Communities Gmail Label,Storage,[Gmail Client Label](https://mail.google.com/mail/u/0/#label/%40Clients%2FGMH),
Slack Channel,https://noclocks.slack.com/archives/C072BHD1YRX,GMH Communities Slack Channel,Communication,[Slack Channel](https://noclocks.slack.com/archives/C072BHD1YRX),
Todoist Project,https://app.todoist.com/app/project/gmh-6VhW624m9vQJ97HW,GMH Communities Todoist Project,Project Management,[Todoist Project](https://app.todoist.com/app/project/gmh-6VhW624m9vQJ97HW),
Stripe,https://dashboard.stripe.com/customers/cus_QLuUnIR9KvkF9n,GMH Communities Stripe Customer,Finance,[Stripe](https://dashboard.stripe.com/customers/cus_QLuUnIR9KvkF9n),
GCP Project,https://console.cloud.google.com/home/dashboard?project=gmh-communities,GMH Communities Google Cloud Platform Project,Development,[GCP Project](https://console.cloud.google.com/home/dashboard?project=gmh-communities),
GCP Billing,https://console.cloud.google.com/billing/019D5C-8AD941-211241?organizationId=508726850342&project=gmh-communities,GMH Communities Google Cloud Platform Billing,Finance,[GCP Billing](https://console.cloud.google.com/billing/019D5C-8AD941-211241?organizationId=508726850342&project=gmh-communities),
Raindrop,https://raindrop.io/jimbrig/gmh-44415445,GMH Communities Raindrop Bookmarks,Storage,[Raindrop](https://raindrop.io/jimbrig/gmh-44415445),
Entrata API Documentation,https://gmhcommunities.entrata.com/api/v1/documentation,Entrata API Documentation,Development,[Entrata API Documentation](https://gmhcommunities.entrata.com/api/v1/documentation),
